Morrow	RBS:CPT_Morrow_148	[Removed: RBS not within boundary of gene or did not share a boundary with a gene]
Morrow	CPT_Morrow_101	Morrow_100
Morrow	CPT_Morrow_101	Morrow_100
Morrow	CPT_Morrow_102	Morrow_101
Morrow	CPT_Morrow_102	Morrow_101
Morrow	CPT_Morrow_102	Morrow_101
Morrow	CPT_Morrow_103	Morrow_102
Morrow	CPT_Morrow_103	Morrow_102
Morrow	CPT_Morrow_103	Morrow_102
Morrow	CPT_Morrow_104	Morrow_103
Morrow	CPT_Morrow_104	Morrow_103
Morrow	CPT_Morrow_104	Morrow_103
Morrow	CPT_Morrow_105	Morrow_104
Morrow	CPT_Morrow_105	Morrow_104
Morrow	CPT_Morrow_105	Morrow_104
Morrow	CPT_Morrow_106	Morrow_105
Morrow	CPT_Morrow_106	Morrow_105
Morrow	CPT_Morrow_106	Morrow_105
Morrow	CPT_Morrow_107	Morrow_106
Morrow	CPT_Morrow_107	Morrow_106
Morrow	CPT_Morrow_107	Morrow_106
Morrow	CPT_Morrow_108	Morrow_107
Morrow	CPT_Morrow_108	Morrow_107
Morrow	CPT_Morrow_108	Morrow_107
Morrow	CPT_Morrow_109	Morrow_108
Morrow	CPT_Morrow_109	Morrow_108
Morrow	CPT_Morrow_109	Morrow_108
Morrow	CPT_Morrow_110	Morrow_109
Morrow	CPT_Morrow_110	Morrow_109
Morrow	CPT_Morrow_111	Morrow_110
Morrow	CPT_Morrow_111	Morrow_110
Morrow	CPT_Morrow_112	Morrow_111
Morrow	CPT_Morrow_112	Morrow_111
Morrow	CPT_Morrow_112	Morrow_111
Morrow	CPT_Morrow_113	Morrow_112
Morrow	CPT_Morrow_113	Morrow_112
Morrow	CPT_Morrow_113	Morrow_112
Morrow	CPT_Morrow_114	Morrow_113
Morrow	CPT_Morrow_114	Morrow_113
Morrow	CPT_Morrow_114	Morrow_113
Morrow	CPT_Morrow_115	Morrow_114
Morrow	CPT_Morrow_115	Morrow_114
Morrow	CPT_Morrow_116	Morrow_115
Morrow	CPT_Morrow_116	Morrow_115
Morrow	CPT_Morrow_116	Morrow_115
Morrow	CPT_Morrow_117	Morrow_116
Morrow	CPT_Morrow_117	Morrow_116
Morrow	CPT_Morrow_117	Morrow_116
Morrow	CPT_Morrow_118	Morrow_117
Morrow	CPT_Morrow_118	Morrow_117
Morrow	CPT_Morrow_118	Morrow_117
Morrow	CPT_Morrow_119	Morrow_118
Morrow	CPT_Morrow_119	Morrow_118
Morrow	CPT_Morrow_119	Morrow_118
Morrow	CPT_Morrow_120	Morrow_119
Morrow	CPT_Morrow_120	Morrow_119
Morrow	CPT_Morrow_120	Morrow_119
Morrow	CPT_Morrow_121	Morrow_120
Morrow	CPT_Morrow_121	Morrow_120
Morrow	CPT_Morrow_121	Morrow_120
Morrow	CPT_Morrow_122	Morrow_121
Morrow	CPT_Morrow_122	Morrow_121
Morrow	CPT_Morrow_122	Morrow_121
Morrow	CPT_Morrow_123	Morrow_122
Morrow	CPT_Morrow_123	Morrow_122
Morrow	CPT_Morrow_123	Morrow_122
Morrow	CPT_Morrow_124	Morrow_123
Morrow	CPT_Morrow_124	Morrow_123
Morrow	CPT_Morrow_124	Morrow_123
Morrow	CPT_Morrow_125	Morrow_124
Morrow	CPT_Morrow_125	Morrow_124
Morrow	CPT_Morrow_125	Morrow_124
Morrow	CPT_Morrow_126	Morrow_125
Morrow	CPT_Morrow_126	Morrow_125
Morrow	CPT_Morrow_126	Morrow_125
Morrow	CPT_Morrow_127	Morrow_126
Morrow	CPT_Morrow_127	Morrow_126
Morrow	CPT_Morrow_127	Morrow_126
Morrow	CPT_Morrow_128	Morrow_127
Morrow	CPT_Morrow_128	Morrow_127
Morrow	CPT_Morrow_128	Morrow_127
Morrow	CPT_Morrow_129	Morrow_128
Morrow	CPT_Morrow_129	Morrow_128
Morrow	CPT_Morrow_129	Morrow_128
Morrow	CPT_Morrow_130	Morrow_129
Morrow	CPT_Morrow_130	Morrow_129
Morrow	CPT_Morrow_130	Morrow_129
Morrow	CPT_Morrow_131	Morrow_130
Morrow	CPT_Morrow_131	Morrow_130
Morrow	CPT_Morrow_131	Morrow_130
Morrow	CPT_Morrow_132	Morrow_131
Morrow	CPT_Morrow_132	Morrow_131
Morrow	CPT_Morrow_132	Morrow_131
Morrow	CPT_Morrow_133	Morrow_132
Morrow	CPT_Morrow_133	Morrow_132
Morrow	CPT_Morrow_133	Morrow_132
Morrow	CPT_Morrow_134	Morrow_133
Morrow	CPT_Morrow_134	Morrow_133
Morrow	CPT_Morrow_134	Morrow_133
Morrow	CPT_Morrow_135	Morrow_134
Morrow	CPT_Morrow_135	Morrow_134
Morrow	CPT_Morrow_135	Morrow_134
Morrow	CPT_Morrow_136	Morrow_135
Morrow	CPT_Morrow_136	Morrow_135
Morrow	CPT_Morrow_136	Morrow_135
Morrow	CPT_Morrow_137	Morrow_136
Morrow	CPT_Morrow_137	Morrow_136
Morrow	CPT_Morrow_137	Morrow_136
Morrow	CPT_Morrow_138	Morrow_137
Morrow	CPT_Morrow_138	Morrow_137
Morrow	CPT_Morrow_138	Morrow_137
Morrow	CPT_Morrow_139	Morrow_138
Morrow	CPT_Morrow_139	Morrow_138
Morrow	CPT_Morrow_139	Morrow_138
Morrow	CPT_Morrow_140	Morrow_139
Morrow	CPT_Morrow_140	Morrow_139
Morrow	CPT_Morrow_140	Morrow_139
Morrow	CPT_Morrow_141	Morrow_140
Morrow	CPT_Morrow_141	Morrow_140
Morrow	CPT_Morrow_141	Morrow_140
Morrow	CPT_Morrow_142	Morrow_141
Morrow	CPT_Morrow_142	Morrow_141
Morrow	CPT_Morrow_142	Morrow_141
Morrow	CPT_Morrow_143	Morrow_142
Morrow	CPT_Morrow_143	Morrow_142
Morrow	CPT_Morrow_143	Morrow_142
Morrow	CPT_Morrow_144	Morrow_143
Morrow	CPT_Morrow_144	Morrow_143
Morrow	CPT_Morrow_144	Morrow_143
Morrow	CPT_Morrow_145	Morrow_144
Morrow	CPT_Morrow_145	Morrow_144
Morrow	CPT_Morrow_145	Morrow_144
Morrow	CPT_Morrow_146	Morrow_145
Morrow	CPT_Morrow_146	Morrow_145
Morrow	CPT_Morrow_146	Morrow_145
Morrow	CPT_Morrow_147	Morrow_146
Morrow	CPT_Morrow_147	Morrow_146
Morrow	CPT_Morrow_147	Morrow_146
Morrow	CPT_Morrow_148	Morrow_147
Morrow	CPT_Morrow_148	Morrow_147
Morrow	CPT_Morrow_149	Morrow_148
Morrow	CPT_Morrow_149	Morrow_148
